eu-west-1.windows.c3.xlarge,0.466
eu-west-1.windows.c3.2xlarge,0.932
eu-west-1.windows.c3.4xlarge,1.864
eu-west-1.windows.c3.8xlarge,3.728
eu-west-1.windows.c1.medium,0.225
eu-west-1.windows.c1.xlarge,0.900
eu-west-1.windows.cc2.8xlarge,2.970
eu-west-1.windows.g2.2xlarge,0.767
eu-west-1.windows.cg1.4xlarge,2.600
eu-west-1.windows.m2.xlarge,0.510
eu-west-1.windows.m2.2xlarge,1.020
eu-west-1.windows.m2.4xlarge,2.040
eu-west-1.windows.cr1.8xlarge,3.831
eu-west-1.windows.hi1.4xlarge,3.580
eu-west-1.windows.hs1.8xlarge,4.931
eu-west-1.windows.t1.micro,0.035
ap-southeast-1.windows.m3.xlarge,0.882
ap-southeast-1.windows.m3.2xlarge,1.764
ap-southeast-1.windows.m1.small,0.115
ap-southeast-1.windows.m1.medium,0.230
ap-southeast-1.windows.m1.large,0.460
ap-southeast-1.windows.m1.xlarge,0.920
ap-southeast-1.windows.c3.large,0.295
ap-southeast-1.windows.c3.xlarge,0.590
ap-southeast-1.windows.c3.2xlarge,1.180
ap-southeast-1.windows.c3.4xlarge,2.360
ap-southeast-1.windows.c3.8xlarge,4.720
ap-southeast-1.windows.c1.medium,0.285
ap-southeast-1.windows.c1.xlarge,1.140
ap-southeast-1.windows.m2.xlarge,0.570
ap-southeast-1.windows.m2.2xlarge,1.140
ap-southeast-1.windows.m2.4xlarge,2.280
ap-southeast-1.windows.hs1.8xlarge,5.901
ap-southeast-1.windows.t1.micro,0.020
ap-northeast-1.windows.m3.xlarge,0.882
ap-northeast-1.windows.m3.2xlarge,1.764
ap-northeast-1.windows.m1.small,0.115
ap-northeast-1.windows.m1.medium,0.230
ap-northeast-1.windows.m1.large,0.460
ap-northeast-1.windows.m1.xlarge,0.920
ap-northeast-1.windows.c3.large,0.295
ap-northeast-1.windows.c3.xlarge,0.590
ap-northeast-1.windows.c3.2xlarge,1.180
ap-northeast-1.windows.c3.4xlarge,2.360
ap-northeast-1.windows.c3.8xlarge,4.720
ap-northeast-1.windows.c1.medium,0.285
ap-northeast-1.windows.c1.xlarge,1.140
ap-northeast-1.windows.cc2.8xlarge,3.530
ap-northeast-1.windows.m2.xlarge,0.570
ap-northeast-1.windows.m2.2xlarge,1.140
ap-northeast-1.windows.m2.4xlarge,2.280
ap-northeast-1.windows.cr1.8xlarge,4.641
ap-northeast-1.windows.hi1.4xlarge,4.300
ap-northeast-1.windows.hs1.8xlarge,6.000
ap-northeast-1.windows.t1.micro,0.035
ap-southeast-2.windows.m3.xlarge,0.882
ap-southeast-2.windows.m3.2xlarge,1.764
ap-southeast-2.windows.m1.small,0.115
ap-southeast-2.windows.m1.medium,0.230
ap-southeast-2.windows.m1.large,0.460
ap-southeast-2.windows.m1.xlarge,0.920
ap-southeast-2.windows.c3.large,0.295
ap-southeast-2.windows.c3.xlarge,0.590
ap-southeast-2.windows.c3.2xlarge,1.180
ap-southeast-2.windows.c3.4xlarge,2.360
ap-southeast-2.windows.c3.8xlarge,4.720
ap-southeast-2.windows.c1.medium,0.285
ap-southeast-2.windows.c1.xlarge,1.140
ap-southeast-2.windows.m2.xlarge,0.570
ap-southeast-2.windows.m2.2xlarge,1.140
ap-southeast-2.windows.m2.4xlarge,2.280
ap-southeast-2.windows.hs1.8xlarge,5.901
ap-southeast-2.windows.t1.micro,0.020
sa-east-1.windows.m3.xlarge,0.864
sa-east-1.windows.m3.2xlarge,1.728
sa-east-1.windows.m1.small,0.111
sa-east-1.windows.m1.medium,0.222
sa-east-1.windows.m1.large,0.444
sa-east-1.windows.m1.xlarge,0.888
sa-east-1.windows.c1.medium,0.280
sa-east-1.windows.c1.xlarge,1.120
sa-east-1.windows.m2.xlarge,0.640
sa-east-1.windows.m2.2xlarge,1.280
sa-east-1.windows.m2.4xlarge,2.560
sa-east-1.windows.t1.micro,0.037
